Fold 1 Ep   1/60 | loss=0.183 | bal_acc=0.7201 f1=0.7452 auc=0.9039
Fold 1 Ep   2/60 | loss=0.162 | bal_acc=0.8275 f1=0.8399 auc=0.9031
Fold 1 Ep   3/60 | loss=0.141 | bal_acc=0.8056 f1=0.8306 auc=0.9064
Fold 1 Ep   4/60 | loss=0.132 | bal_acc=0.8619 f1=0.8648 auc=0.9054
Fold 1 Ep   5/60 | loss=0.149 | bal_acc=0.8657 f1=0.8679 auc=0.9081
Fold 1 Ep   6/60 | loss=0.146 | bal_acc=0.8833 f1=0.8764 auc=0.9080
Fold 1 Ep   7/60 | loss=0.126 | bal_acc=0.8657 f1=0.8679 auc=0.9080
Fold 1 Ep   8/60 | loss=0.107 | bal_acc=0.8657 f1=0.8679 auc=0.9095
Fold 1 Ep   9/60 | loss=0.105 | bal_acc=0.8657 f1=0.8679 auc=0.9067
Fold 1 Ep  10/60 | loss=0.128 | bal_acc=0.8619 f1=0.8648 auc=0.9056
Fold 1 Ep  11/60 | loss=0.101 | bal_acc=0.8619 f1=0.8648 auc=0.9069
Fold 1 Ep  12/60 | loss=0.098 | bal_acc=0.8657 f1=0.8679 auc=0.9070
Fold 1 Ep  13/60 | loss=0.102 | bal_acc=0.8833 f1=0.8764 auc=0.9067
Fold 1 Ep  14/60 | loss=0.098 | bal_acc=0.8619 f1=0.8648 auc=0.9051
Fold 1 Ep  15/60 | loss=0.099 | bal_acc=0.8833 f1=0.8764 auc=0.9078
Fold 1 Ep  16/60 | loss=0.094 | bal_acc=0.8657 f1=0.8679 auc=0.9095
Fold 1 Ep  17/60 | loss=0.089 | bal_acc=0.8833 f1=0.8764 auc=0.9076
Fold 1 Ep  18/60 | loss=0.089 | bal_acc=0.8833 f1=0.8764 auc=0.9083
Fold 1 Ep  19/60 | loss=0.089 | bal_acc=0.8833 f1=0.8764 auc=0.9072
Fold 1 Ep  20/60 | loss=0.086 | bal_acc=0.8695 f1=0.8710 auc=0.9071
Fold 1 Ep  21/60 | loss=0.086 | bal_acc=0.8833 f1=0.8764 auc=0.9087
Fold 1 Ep  22/60 | loss=0.094 | bal_acc=0.8833 f1=0.8764 auc=0.9086
Fold 1 Ep  23/60 | loss=0.089 | bal_acc=0.8833 f1=0.8764 auc=0.9087
Fold 1 Ep  24/60 | loss=0.086 | bal_acc=0.8833 f1=0.8764 auc=0.9093
Fold 1 Ep  25/60 | loss=0.086 | bal_acc=0.8695 f1=0.8710 auc=0.9098
Fold 1 Ep  26/60 | loss=0.092 | bal_acc=0.8833 f1=0.8764 auc=0.9114
Fold 1 Ep  27/60 | loss=0.090 | bal_acc=0.8695 f1=0.8710 auc=0.9085
Fold 1 Ep  28/60 | loss=0.092 | bal_acc=0.8833 f1=0.8764 auc=0.9097
Fold 1 Ep  29/60 | loss=0.084 | bal_acc=0.8695 f1=0.8710 auc=0.9098
Fold 1 Ep  30/60 | loss=0.092 | bal_acc=0.8695 f1=0.8710 auc=0.9084
Fold 1 Ep  31/60 | loss=0.089 | bal_acc=0.8833 f1=0.8764 auc=0.9111
Fold 1 Ep  32/60 | loss=0.090 | bal_acc=0.8695 f1=0.8710 auc=0.9098
Fold 1 Ep  33/60 | loss=0.087 | bal_acc=0.8833 f1=0.8764 auc=0.9113
Fold 1 Ep  34/60 | loss=0.090 | bal_acc=0.8833 f1=0.8764 auc=0.9081
Fold 1 Ep  35/60 | loss=0.088 | bal_acc=0.8695 f1=0.8710 auc=0.9101
Fold 1 Ep  36/60 | loss=0.089 | bal_acc=0.8695 f1=0.8710 auc=0.9116
Fold 1 Ep  37/60 | loss=0.087 | bal_acc=0.8695 f1=0.8710 auc=0.9102
Fold 1 Ep  38/60 | loss=0.092 | bal_acc=0.8695 f1=0.8710 auc=0.9101
Fold 1 Ep  39/60 | loss=0.088 | bal_acc=0.8695 f1=0.8710 auc=0.9103
Fold 1 Ep  40/60 | loss=0.084 | bal_acc=0.8833 f1=0.8764 auc=0.9103
Fold 1 Ep  41/60 | loss=0.087 | bal_acc=0.8833 f1=0.8764 auc=0.9103
Fold 1 Ep  42/60 | loss=0.090 | bal_acc=0.8695 f1=0.8710 auc=0.9101
Fold 1 Ep  43/60 | loss=0.090 | bal_acc=0.8695 f1=0.8710 auc=0.9087
Fold 1 Ep  44/60 | loss=0.085 | bal_acc=0.8695 f1=0.8710 auc=0.9102
Fold 1 Ep  45/60 | loss=0.090 | bal_acc=0.8695 f1=0.8710 auc=0.9086
Fold 1 Ep  46/60 | loss=0.085 | bal_acc=0.8833 f1=0.8764 auc=0.9087
Fold 1 Ep  47/60 | loss=0.088 | bal_acc=0.8833 f1=0.8764 auc=0.9102
Fold 1 Ep  48/60 | loss=0.087 | bal_acc=0.8833 f1=0.8764 auc=0.9094
Fold 1 Ep  49/60 | loss=0.088 | bal_acc=0.8833 f1=0.8764 auc=0.9102
Fold 1 Ep  50/60 | loss=0.085 | bal_acc=0.8833 f1=0.8764 auc=0.9102
Fold 1 Ep  51/60 | loss=0.088 | bal_acc=0.8833 f1=0.8764 auc=0.9100
Fold 1 Ep  52/60 | loss=0.091 | bal_acc=0.8833 f1=0.8764 auc=0.9093
Fold 1 Ep  53/60 | loss=0.091 | bal_acc=0.8833 f1=0.8764 auc=0.9102
Fold 1 Ep  54/60 | loss=0.088 | bal_acc=0.8833 f1=0.8764 auc=0.9093
Fold 1 Ep  55/60 | loss=0.087 | bal_acc=0.8833 f1=0.8764 auc=0.9103
Fold 1 Ep  56/60 | loss=0.091 | bal_acc=0.8833 f1=0.8764 auc=0.9093
Fold 1 Ep  57/60 | loss=0.092 | bal_acc=0.8833 f1=0.8764 auc=0.9079
Fold 1 Ep  58/60 | loss=0.089 | bal_acc=0.8833 f1=0.8764 auc=0.9079
Fold 1 Ep  59/60 | loss=0.084 | bal_acc=0.8833 f1=0.8764 auc=0.9079
Fold 1 Ep  60/60 | loss=0.094 | bal_acc=0.8833 f1=0.8764 auc=0.9093
Fold 2 Ep   1/60 | loss=0.182 | bal_acc=0.8044 f1=0.8279 auc=0.9146
Fold 2 Ep   2/60 | loss=0.165 | bal_acc=0.8850 f1=0.8937 auc=0.9144
Fold 2 Ep   3/60 | loss=0.157 | bal_acc=0.8973 f1=0.8942 auc=0.9145
Fold 2 Ep   4/60 | loss=0.158 | bal_acc=0.8816 f1=0.8863 auc=0.9166
Fold 2 Ep   5/60 | loss=0.153 | bal_acc=0.8816 f1=0.8863 auc=0.9142
Fold 2 Ep   6/60 | loss=0.138 | bal_acc=0.8816 f1=0.8863 auc=0.9176
Fold 2 Ep   7/60 | loss=0.123 | bal_acc=0.8973 f1=0.8942 auc=0.9163
Fold 2 Ep   8/60 | loss=0.126 | bal_acc=0.8816 f1=0.8863 auc=0.9168
Fold 2 Ep   9/60 | loss=0.118 | bal_acc=0.8973 f1=0.8942 auc=0.9179
Fold 2 Ep  10/60 | loss=0.107 | bal_acc=0.8973 f1=0.8942 auc=0.9176
Fold 2 Ep  11/60 | loss=0.109 | bal_acc=0.8969 f1=0.8985 auc=0.9169
Fold 2 Ep  12/60 | loss=0.113 | bal_acc=0.8973 f1=0.8942 auc=0.9173
Fold 2 Ep  13/60 | loss=0.101 | bal_acc=0.8621 f1=0.8747 auc=0.9157
Fold 2 Ep  14/60 | loss=0.099 | bal_acc=0.8973 f1=0.8942 auc=0.9169
Fold 2 Ep  15/60 | loss=0.103 | bal_acc=0.8973 f1=0.8942 auc=0.9171
Fold 2 Ep  16/60 | loss=0.097 | bal_acc=0.8969 f1=0.8985 auc=0.9172
Fold 2 Ep  17/60 | loss=0.099 | bal_acc=0.8973 f1=0.8942 auc=0.9173
Fold 2 Ep  18/60 | loss=0.094 | bal_acc=0.8969 f1=0.8985 auc=0.9169
Fold 2 Ep  19/60 | loss=0.091 | bal_acc=0.8969 f1=0.8985 auc=0.9173
Fold 2 Ep  20/60 | loss=0.091 | bal_acc=0.8973 f1=0.8942 auc=0.9171
Fold 2 Ep  21/60 | loss=0.094 | bal_acc=0.8973 f1=0.8942 auc=0.9169
